CHID,DESCRIPTION,HOST,VALUE,EXPECTED_VALUE,C,SAP_NOTE
"****","SAP HANA MINI CHECKS","","","",""," 1999993"
"","","","","","",""
"M0006","Mini check version","","2.00.040+ / 2.5.5 (2020/04/18)","","",""
"M0007","Configured time intervals (days)","","short-term: 1, mid-term: 7, long-term: 31","","",""
"M0010","Analysis date","","2020/04/28 11:19:53 (KST)","","",""
"M0011","Database name","","HTC","","",""
"M0012","Revision level","","46.00",">= 43.00",""," 2378962"
"M0013","Version","","2.0","",""," 2378962"
"M0110","Everything started","","yes","yes",""," 2177064"
"M0111","Host startup time variation (s)","","0","<= 600",""," 2177064"
"M0115","Service startup time variation (s)","erphana02","2435482","<= 600","X"," 2177064"
"","","","","","",""
"****","OPERATING SYSTEM","","","","",""
"","","","","","",""
"M0207","Recommended bigmem kernel flavor not used","","no","no",""," 2240716"
"M0208","Supported operating system","erphana02","yes","yes",""," 2235581"
"M0209","Recommended operating system kernel version","erphana02","yes","yes",""," 2235581"
"M0211","Hosts with varying CPU rates","","no","no",""," 2235581"
"M0215","Hosts with outdated CPU type","","1","0","X"," 2399995"
"M0220","Current CPU utilization (%)","erphana02","5","<= 80",""," 2100040"
"M0221","Peak CPU utilization (%, short-term)","erphana02","9","<= 90",""," 2100040"
"M0222","Time since CPU utilization > 95 % (h)","","never",">= 12.00",""," 2100040"
"M0226","Peak system CPU utilization (%, short-term)","erphana02","4","<= 30",""," 2100040"
"M0227","External CPU utilization (%, short-term)","erphana02","3","<= 10",""," 2100040"
"M0228","Erroneous system CPU calculation","erphana02","no","no",""," 2222110"
"M0232","Hyperthreading active in critical context","","no","no",""," 2711650"
"M0233","NUMA nodes with high CPU utilization","","none","none",""," 2470289"
"M0234","CPU steal share (%)","","0.00","<= 10.00",""," 2100040"
"M0235","Hosts with varying physical memory size","","no","no",""," 1999997"
"M0242","Swap out (GB / day, mid-term)","erphana02","0.00","<= 10.00",""," 1999997"
"M0245","Swap space size (GB)","erphana02","15.99","<= 35.00",""," 1999997"
"M0250","Max. used disk size (%)","erphana02","32","<= 80",""," 1870858"
"M0260","Open files limit configured","erphana02","1048576",">= 1048576",""," 2600030"
"M0261","Open files limit used (%, current)","","0.04","<= 50.00",""," 2600030"
"M0262","Max. open files limit used (%, long-term)","","0.03","<= 60.00",""," 2600030"
"M0263","Asynchronous I/O queue size limit","","18446744073709551615","18446744073709551615",""," 1868829"
"M0264","Virtual memory map count limit","","2147483647","2147483647",""," 1980196"
"M0265","Network socket backlog limit","","128",">= 4096","X"," 2382421"
"M0266","Non-acknowledged requests limit","","2048",">= 8192","X"," 2382421"
"M0268","Open file limit","","20000000",">= 20000000",""," 2600030"
"M0269","Transparent huge pages active","","n/a","no",""," 2131662"
"M0270","Unknown hardware components","","0","0",""," 1828631"
"M0280","Maximum time variation between hosts (s)","","0","<= 5","",""
"","","","","","",""
"****","DISKS","","","","",""
"","","","","","",""
"M0312","I/O read latency data max. (ms, short-term)","erphana02","never","<= 20.00",""," 1999930"
"M0313","I/O read latency data avg. (ms, short-term)","erphana02","never","<= 10.00",""," 1999930"
"M0314","I/O read reload throughput avg. (MB/s)","erphana02","n/a",">= 200.00",""," 1999930"
"M0315","I/O write throughput data min. (MB/s, short-term)","erphana02","681",">= 20",""," 1999930"
"M0316","I/O write throughput data avg. (MB/s, short-term)","erphana02","939",">= 100",""," 1999930"
