# 20210502 01:46:11, 57000.000000
# 20210502 06:41:13, 30.000000
# 20210502 07:19:41, 53000.000000
# 20210503 06:32:06, 103.360000
﻿# 20210503 10:41:07, 123.930000
﻿# 20210503 12:37:30, 106.710000
# 20210503 20:08:25, 3954.530000
﻿# 20210503 20:08:33, 199.460000
﻿# 20210504 01:45:54, 219.370000
﻿# 20210504 07:40:09, 2640.290000
﻿# 20210504 07:40:16, 1886.790000
﻿# 20210504 09:21:45, 1644.300000
﻿# 20210504 16:49:46, 1098.690000
﻿# 20210504 17:10:03, 1264.920000
﻿# 20210504 21:13:50, 71582.200000
﻿# 20210504 21:32:52, 984.780000
﻿# 20210504 22:43:55, 1075.440000
# 20210505 06:34:21, 6704.060000
# 20210505 12:18:39, 113422.490000 (DOGE)
﻿# 20210505 13:27:34, 63083.590000 (DOGE)
﻿# 20210505 21:03:13, 4309.020000 (XRP)
﻿# 20210506 09:14:07, 4498.180000 (XRP)
﻿# 20210506 10:08:02, 4243.980000 (XRP)
﻿# 20210506 19:21:10, 1316.710000 (BTC)
﻿# 20210507 00:17:14, 110.100000, QTUM
﻿# 20210507 00:18:29, 126.800000, EOS
﻿# 20210507 00:18:30, 132.880000, QTUM
﻿# 20210507 00:19:46, 147.930000, EOS
﻿# 20210507 00:19:47, 125.280000, QTUM
﻿# 20210507 00:21:02, 147.930000, EOS
﻿# 20210507 00:21:03, 182.230000, QTUM
﻿# 20210507 00:22:19, 118.340000, EOS
﻿# 20210507 00:22:20, 244.870000, QTUM
﻿# 20210507 00:23:35, 105.660000, EOS
﻿# 20210507 00:23:36, 309.420000, QTUM
﻿# 20210507 00:24:52, 194.420000, EOS
﻿# 20210507 00:24:53, 256.260000, QTUM
﻿# 20210507 00:26:08, 152.160000, EOS
﻿# 20210507 00:26:09, 218.300000, QTUM
﻿# 20210507 00:27:27, 5373.970000, ETH
﻿# 20210507 00:27:29, 169.060000, EOS
﻿# 20210507 00:27:30, 284.740000, QTUM
﻿# 20210508 13:17:35, 314780.390000, DOGE
﻿# 20210508 22:42:14, 2682.770000, ETH
﻿# 20210509 01:17:28, 13508.430000, ETH
﻿# 20210509 01:41:00, 9029.520000, ETH
﻿# 20210509 07:06:07, 14399.570000, ETH
﻿# 20210509 13:02:42, 4407.730000, BTC
﻿# 20210509 15:47:15, 7752.820000, ETH
﻿# 20210510 17:55:17, 7393.990000, ETH
﻿# 20210510 22:17:10, 1688.640000, ETH
﻿# 20210512 08:45:37, 5217.770000, BCH
﻿# 20210512 23:27:36, 10900.030000, ETH
