new_dates,dates
2018.12.19,26
2018.12.20,19
2018.12.21,49
2018.12.22,11
2018.12.23,27
2018.12.24,34
2018.12.25,27
2018.12.26,19
2018.12.27,14
2018.12.28,15
2018.12.29,9
2018.12.30,13
2018.12.31,16
2019.01.01,20
2019.01.02,18
2019.01.03,13
2019.01.04,16
2019.01.05,11
2019.01.06,14
2019.01.07,20
2019.01.08,15
2019.01.09,18
2019.01.10,37
2019.01.11,25
2019.01.12,14
2019.01.13,9
2019.01.14,32
2019.01.15,18
2019.01.16,20
2019.01.17,21
2019.01.18,24
2019.01.19,16
2019.01.20,25
2019.01.21,18
2019.01.22,25
2019.01.23,16
2019.01.24,19
2019.01.25,15
2019.01.26,19
2019.01.27,19
2019.01.28,25
2019.01.29,26
2019.01.30,19
2019.01.31,26
2019.02.01,30
2019.02.02,16
2019.02.03,17
2019.02.04,19
2019.02.05,17
2019.02.06,20
2019.02.07,24
2019.02.08,21
2019.02.09,17
2019.02.10,9
2019.02.11,18
2019.02.12,10
2019.02.13,13
2019.02.14,19
2019.02.15,22
2019.02.16,14
2019.02.17,11
2019.02.18,30
2019.02.19,33
2019.02.20,11
2019.02.21,26
2019.02.22,20
2019.02.23,19
2019.02.24,26
2019.02.25,24
2019.02.26,24
2019.02.27,15
2019.02.28,23
2019.03.01,18
2019.03.02,11
2019.03.03,11
2019.03.04,16
2019.03.05,14
2019.03.06,14
2019.03.07,35
2019.03.08,15
2019.03.09,19
2019.03.10,18
2019.03.11,18
2019.03.12,27
2019.03.13,15
2019.03.14,21
2019.03.15,28
2019.03.16,15
2019.03.17,14
2019.03.18,26
2019.03.19,29
2019.03.20,7
2019.03.21,13
2019.03.22,16
2019.03.23,16
2019.03.24,6
2019.03.25,9
2019.03.26,20
2019.03.27,13
2019.03.28,8
2019.03.29,15
2019.03.30,14
2019.03.31,7
2019.04.01,19
2019.04.02,53
2019.04.03,41
2019.04.04,30
2019.04.05,17
2019.04.06,9
2019.04.07,10
2019.04.08,21
2019.04.09,10
2019.04.10,15
