new_dates,dates
2021.05.04,98
2021.05.05,49
2021.05.06,83
2021.05.07,59
2021.05.08,23
2021.05.09,35
2021.05.10,53
2021.05.11,131
2021.05.12,97
2021.05.13,133
2021.05.14,68
2021.05.15,45
2021.05.16,26
2021.05.17,56
2021.05.18,72
2021.05.19,36
2021.05.20,52
2021.05.21,74
2021.05.22,25
2021.05.23,22
2021.05.24,60
2021.05.25,58
2021.05.26,53
2021.05.27,76
2021.05.28,55
2021.05.29,25
2021.05.30,13
2021.05.31,69
2021.06.01,56
2021.06.02,51
2021.06.03,83
2021.06.04,50
2021.06.05,17
2021.06.06,28
2021.06.07,41
2021.06.08,47
2021.06.09,58
2021.06.10,51
2021.06.11,57
2021.06.12,26
2021.06.13,26
2021.06.14,31
2021.06.15,44
2021.06.16,48
2021.06.17,60
2021.06.18,69
2021.06.19,18
2021.06.20,31
2021.06.21,46
2021.06.22,50
2021.06.23,66
2021.06.24,76
2021.06.25,68
2021.06.26,30
2021.06.27,26
2021.06.28,42
2021.06.29,30
