,new_dates,kospi
0,2022.12.29,2236.0
1,2022.12.28,2280.0
2,2022.12.27,2332.0
3,2022.12.26,2317.0
4,2022.12.23,2313.0
5,2022.12.22,2356.0
6,2022.12.21,2328.0
7,2022.12.20,2333.0
8,2022.12.19,2352.0
9,2022.12.16,2360.0
10,2022.12.15,2360.0
11,2022.12.14,2399.0
12,2022.12.13,2372.0
13,2022.12.12,2373.0
14,2022.12.09,2389.0
15,2022.12.08,2371.0
16,2022.12.07,2382.0
17,2022.12.06,2393.0
18,2022.12.05,2419.0
19,2022.12.02,2434.0
20,2022.12.01,2479.0
21,2022.11.30,2472.0
22,2022.11.29,2433.0
23,2022.11.28,2408.0
24,2022.11.25,2437.0
25,2022.11.24,2441.0
26,2022.11.23,2418.0
27,2022.11.22,2405.0
28,2022.11.21,2419.0
29,2022.11.18,2444.0
30,2022.11.17,2442.0
31,2022.11.16,2477.0
32,2022.11.15,2480.0
33,2022.11.14,2474.0
34,2022.11.11,2483.0
35,2022.11.10,2402.0
36,2022.11.09,2424.0
37,2022.11.08,2399.0
38,2022.11.07,2371.0
39,2022.11.04,2348.0
40,2022.11.03,2329.0
41,2022.11.02,2336.0
42,2022.11.01,2335.0
43,2022.10.31,2293.0
44,2022.10.28,2268.0
45,2022.10.27,2288.0
46,2022.10.26,2249.0
47,2022.10.25,2235.0
48,2022.10.24,2236.0
49,2022.10.21,2213.0
50,2022.10.20,2218.0
51,2022.10.19,2237.0
52,2022.10.18,2249.0
53,2022.10.17,2219.0
54,2022.10.14,2212.0
55,2022.10.13,2162.0
56,2022.10.12,2202.0
57,2022.10.11,2192.0
58,2022.10.07,2232.0
59,2022.10.06,2237.0
60,2022.10.05,2215.0
61,2022.10.04,2209.0
62,2022.09.30,2155.0
63,2022.09.29,2170.0
64,2022.09.28,2169.0
65,2022.09.27,2223.0
66,2022.09.26,2220.0
67,2022.09.23,2290.0
68,2022.09.22,2332.0
69,2022.09.21,2347.0
70,2022.09.20,2367.0
71,2022.09.19,2355.0
72,2022.09.16,2382.0
73,2022.09.15,2401.0
74,2022.09.14,2411.0
75,2022.09.13,2449.0
76,2022.09.08,2384.0
77,2022.09.07,2376.0
78,2022.09.06,2410.0
79,2022.09.05,2403.0
80,2022.09.02,2409.0
81,2022.09.01,2415.0
82,2022.08.31,2472.0
83,2022.08.30,2450.0
84,2022.08.29,2426.0
85,2022.08.26,2481.0
86,2022.08.25,2477.0
87,2022.08.24,2447.0
88,2022.08.23,2435.0
89,2022.08.22,2462.0
90,2022.08.19,2492.0
91,2022.08.18,2508.0
92,2022.08.17,2516.0
93,2022.08.16,2533.0
94,2022.08.12,2527.0
95,2022.08.11,2523.0
96,2022.08.10,2480.0
97,2022.08.09,2503.0
98,2022.08.08,2493.0
99,2022.08.05,2490.0
100,2022.08.04,2473.0
101,2022.08.03,2461.0
102,2022.08.02,2439.0
103,2022.08.01,2452.0
104,2022.07.29,2451.0
105,2022.07.28,2435.0
106,2022.07.27,2415.0
107,2022.07.26,2412.0
108,2022.07.25,2403.0
109,2022.07.22,2393.0
110,2022.07.21,2409.0
111,2022.07.20,2386.0
112,2022.07.19,2370.0
113,2022.07.18,2375.0
114,2022.07.15,2330.0
115,2022.07.14,2322.0
116,2022.07.13,2328.0
117,2022.07.12,2317.0
118,2022.07.11,2340.0
119,2022.07.08,2350.0
120,2022.07.07,2334.0
121,2022.07.06,2292.0
122,2022.07.05,2341.0
123,2022.07.04,2300.0
124,2022.07.01,2305.0
125,2022.06.30,2332.0
126,2022.06.29,2377.0
127,2022.06.28,2422.0
128,2022.06.27,2401.0
129,2022.06.24,2366.0
130,2022.06.23,2314.0
131,2022.06.22,2342.0
132,2022.06.21,2408.0
133,2022.06.20,2391.0
134,2022.06.17,2440.0
135,2022.06.16,2451.0
136,2022.06.15,2447.0
137,2022.06.14,2492.0
138,2022.06.13,2504.0
139,2022.06.10,2595.0
140,2022.06.09,2625.0
141,2022.06.08,2626.0
142,2022.06.07,2626.0
143,2022.06.03,2670.0
144,2022.06.02,2658.0
145,2022.05.31,2685.0
146,2022.05.30,2669.0
147,2022.05.27,2638.0
148,2022.05.26,2612.0
149,2022.05.25,2617.0
150,2022.05.24,2605.0
151,2022.05.23,2647.0
152,2022.05.20,2639.0
153,2022.05.19,2592.0
154,2022.05.18,2625.0
155,2022.05.17,2620.0
156,2022.05.16,2596.0
157,2022.05.13,2604.0
158,2022.05.12,2550.0
159,2022.05.11,2592.0
160,2022.05.10,2596.0
161,2022.05.09,2610.0
162,2022.05.06,2644.0
163,2022.05.04,2677.0
164,2022.05.03,2680.0
165,2022.05.02,2687.0
166,2022.04.29,2695.0
