new_dates,dates
2022.01.02,19
2022.01.03,44
2022.01.04,60
2022.01.05,60
2022.01.06,86
2022.01.07,55
2022.01.08,25
2022.01.09,40
2022.01.10,64
2022.01.11,76
2022.01.12,55
2022.01.13,62
2022.01.14,48
2022.01.15,18
2022.01.16,29
2022.01.17,48
2022.01.18,63
2022.01.19,74
2022.01.20,98
2022.01.21,71
2022.01.22,33
2022.01.23,43
2022.01.24,70
2022.01.25,128
2022.01.26,99
2022.01.27,164
2022.01.28,83
2022.01.29,29
2022.01.30,24
2022.01.31,21
2022.02.01,32
2022.02.02,51
2022.02.03,86
2022.02.04,83
2022.02.05,25
2022.02.06,34
2022.02.07,53
2022.02.08,57
2022.02.09,66
2022.02.10,78
2022.02.11,60
2022.02.12,28
2022.02.13,43
2022.02.14,64
2022.02.15,63
2022.02.16,63
2022.02.17,57
2022.02.18,42
2022.02.19,28
2022.02.20,34
2022.02.21,43
2022.02.22,57
2022.02.23,55
2022.02.24,92
2022.02.25,57
2022.02.26,18
2022.02.27,31
2022.02.28,25
2022.03.01,44
2022.03.02,40
2022.03.03,44
2022.03.04,44
2022.03.05,19
2022.03.06,30
2022.03.07,48
2022.03.08,68
2022.03.09,12
2022.03.10,75
2022.03.11,51
2022.03.12,23
2022.03.13,33
2022.03.14,58
2022.03.15,54
2022.03.16,69
2022.03.17,70
2022.03.18,47
2022.03.19,20
2022.03.20,36
2022.03.21,31
2022.03.22,38
2022.03.23,64
2022.03.24,59
2022.03.25,53
2022.03.26,18
2022.03.27,38
2022.03.28,46
2022.03.29,66
2022.03.30,80
2022.03.31,56
2022.04.01,57
2022.04.02,18
2022.04.03,38
2022.04.04,42
2022.04.05,50
2022.04.06,65
2022.04.07,58
2022.04.08,54
2022.04.09,24
2022.04.10,31
2022.04.11,44
2022.04.12,61
2022.04.13,44
2022.04.14,50
2022.04.15,49
2022.04.16,6
2022.04.17,32
2022.04.18,35
2022.04.19,52
2022.04.20,54
2022.04.21,55
2022.04.22,51
2022.04.23,23
2022.04.24,39
2022.04.25,61
2022.04.26,66
2022.04.27,90
2022.04.28,72
2022.04.29,60
2022.04.30,26
2022.05.01,43
2022.05.02,58
2022.05.03,44
2022.05.04,41
2022.05.05,35
2022.05.06,51
2022.05.07,21
2022.05.08,33
2022.05.09,47
2022.05.10,62
2022.05.11,62
2022.05.12,85
2022.05.13,63
2022.05.14,24
2022.05.15,33
2022.05.16,48
2022.05.17,56
2022.05.18,43
2022.05.19,67
2022.05.20,49
2022.05.21,26
2022.05.22,40
2022.05.23,35
2022.05.24,53
2022.05.25,55
2022.05.26,61
2022.05.27,32
2022.05.28,24
2022.05.29,19
2022.05.30,41
2022.05.31,51
2022.06.01,23
2022.06.02,34
2022.06.03,34
2022.06.04,15
2022.06.05,21
2022.06.06,28
2022.06.07,45
2022.06.08,44
2022.06.09,38
2022.06.10,55
2022.06.11,27
2022.06.12,35
2022.06.13,81
2022.06.14,67
2022.06.15,75
2022.06.16,75
2022.06.17,82
2022.06.18,29
2022.06.19,52
2022.06.20,59
2022.06.21,54
2022.06.22,69
2022.06.23,91
2022.06.24,59
2022.06.25,20
2022.06.26,35
2022.06.27,36
2022.06.28,36
2022.06.29,35
2022.06.30,59
2022.07.01,50
2022.07.02,16
2022.07.03,25
2022.07.04,46
2022.07.05,51
2022.07.06,54
2022.07.07,53
2022.07.08,40
2022.07.09,17
2022.07.10,36
2022.07.11,26
2022.07.12,46
2022.07.13,48
2022.07.14,50
2022.07.15,45
2022.07.16,22
2022.07.17,26
2022.07.18,45
2022.07.19,40
2022.07.20,38
2022.07.21,40
2022.07.22,38
2022.07.23,12
2022.07.24,29
2022.07.25,30
2022.07.26,40
2022.07.27,48
2022.07.28,49
2022.07.29,54
2022.07.30,13
2022.07.31,29
2022.08.01,31
2022.08.02,45
2022.08.03,36
2022.08.04,41
2022.08.05,43
2022.08.06,12
2022.08.07,27
2022.08.08,32
2022.08.09,44
2022.08.10,39
2022.08.11,29
2022.08.12,27
2022.08.13,14
2022.08.14,19
2022.08.15,25
2022.08.16,38
2022.08.17,38
2022.08.18,33
2022.08.19,32
2022.08.20,15
2022.08.21,29
2022.08.22,35
2022.08.23,35
2022.08.24,37
2022.08.25,37
2022.08.26,28
2022.08.27,13
2022.08.28,29
2022.08.29,35
2022.08.30,36
2022.08.31,37
2022.09.01,36
2022.09.02,40
2022.09.03,18
2022.09.04,25
2022.09.05,38
2022.09.06,34
2022.09.07,38
2022.09.08,36
2022.09.09,10
2022.09.10,9
2022.09.11,8
2022.09.12,18
2022.09.13,43
2022.09.14,45
2022.09.15,36
2022.09.16,35
2022.09.17,6
2022.09.18,10
2022.09.19,34
2022.09.20,30
2022.09.21,35
2022.09.22,49
2022.09.23,43
2022.09.24,14
2022.09.25,22
2022.09.26,62
2022.09.27,47
2022.09.28,74
2022.09.29,52
2022.09.30,39
2022.10.01,16
2022.10.02,18
2022.10.03,26
2022.10.04,41
2022.10.05,42
2022.10.06,43
2022.10.07,36
2022.10.08,14
2022.10.09,6
2022.10.10,24
2022.10.11,41
2022.10.12,52
2022.10.13,55
2022.10.14,43
2022.10.15,19
2022.10.16,28
2022.10.17,40
2022.10.18,40
2022.10.19,38
2022.10.20,36
2022.10.21,35
2022.10.22,9
2022.10.23,26
2022.10.24,41
2022.10.25,38
2022.10.26,42
2022.10.27,42
2022.10.28,44
2022.10.29,13
2022.10.30,19
2022.10.31,33
2022.11.01,41
2022.11.02,27
2022.11.03,36
2022.11.04,37
2022.11.05,16
2022.11.06,21
2022.11.07,38
2022.11.08,43
2022.11.09,39
2022.11.10,35
2022.11.11,52
2022.11.12,16
2022.11.13,24
2022.11.14,30
2022.11.15,37
2022.11.16,32
2022.11.17,35
2022.11.18,33
2022.11.19,12
2022.11.20,26
2022.11.21,27
2022.11.22,26
2022.11.23,29
2022.11.24,36
2022.11.25,19
2022.11.26,13
2022.11.27,19
2022.11.28,29
2022.11.29,21
2022.11.30,36
2022.12.01,43
2022.12.02,32
2022.12.03,10
2022.12.04,22
2022.12.05,30
2022.12.06,29
2022.12.07,28
2022.12.08,27
2022.12.09,26
2022.12.10,12
2022.12.11,18
2022.12.12,27
2022.12.13,31
2022.12.14,2
