,date,kosdaq
0,2021.07.30,1031.0
1,2021.07.29,1044.0
2,2021.07.28,1035.0
3,2021.07.27,1046.0
4,2021.07.26,1047.0
5,2021.07.23,1055.0
6,2021.07.22,1050.0
7,2021.07.21,1042.0
8,2021.07.20,1043.0
9,2021.07.19,1049.0
10,2021.07.16,1051.0
11,2021.07.15,1054.0
12,2021.07.14,1044.0
13,2021.07.13,1043.0
14,2021.07.12,1034.0
15,2021.07.09,1028.0
16,2021.07.08,1034.0
17,2021.07.07,1047.0
18,2021.07.06,1044.0
19,2021.07.05,1047.0
20,2021.07.02,1038.0
21,2021.07.01,1035.0
22,2021.06.30,1029.0
23,2021.06.29,1022.0
24,2021.06.28,1017.0
25,2021.06.25,1012.0
26,2021.06.24,1012.0
27,2021.06.23,1016.0
28,2021.06.22,1011.0
29,2021.06.21,1010.0
30,2021.06.18,1015.0
31,2021.06.17,1003.0
32,2021.06.16,998.0
33,2021.06.15,997.0
34,2021.06.14,997.0
35,2021.06.11,991.0
36,2021.06.10,987.0
37,2021.06.09,978.0
38,2021.06.08,986.0
39,2021.06.07,985.0
40,2021.06.04,987.0
41,2021.06.03,990.0
42,2021.06.02,981.0
43,2021.06.01,984.0
44,2021.05.31,981.0
45,2021.05.28,977.0
46,2021.05.27,974.0
47,2021.05.26,966.0
48,2021.05.25,962.0
49,2021.05.24,948.0
50,2021.05.21,965.0
51,2021.05.20,971.0
52,2021.05.18,969.0
53,2021.05.17,962.0
54,2021.05.14,966.0
55,2021.05.13,951.0
56,2021.05.12,967.0
57,2021.05.11,978.0
58,2021.05.10,992.0
59,2021.05.07,978.0
60,2021.05.06,969.0
61,2021.05.04,967.0
62,2021.05.03,961.0
63,2021.04.30,983.0
64,2021.04.29,990.0
65,2021.04.28,998.0
66,2021.04.27,1021.0
67,2021.04.26,1030.0
68,2021.04.23,1026.0
69,2021.04.22,1025.0
70,2021.04.21,1022.0
71,2021.04.20,1031.0
72,2021.04.19,1029.0
73,2021.04.16,1021.0
74,2021.04.15,1013.0
75,2021.04.14,1014.0
76,2021.04.13,1010.0
77,2021.04.12,1000.0
78,2021.04.09,989.0
79,2021.04.08,982.0
80,2021.04.07,973.0
81,2021.04.06,968.0
82,2021.04.05,969.0
83,2021.04.02,970.0
84,2021.04.01,965.0
85,2021.03.31,956.0
86,2021.03.30,958.0
87,2021.03.29,954.0
88,2021.03.26,956.0
89,2021.03.25,954.0
90,2021.03.24,953.0
91,2021.03.23,946.0
92,2021.03.22,955.0
93,2021.03.19,952.0
94,2021.03.18,949.0
95,2021.03.17,943.0
96,2021.03.16,940.0
97,2021.03.15,926.0
98,2021.03.12,925.0
99,2021.03.11,908.0
100,2021.03.10,890.0
101,2021.03.09,896.0
102,2021.03.08,904.0
103,2021.03.05,923.0
104,2021.03.04,926.0
105,2021.03.03,930.0
106,2021.03.02,923.0
107,2021.02.26,913.0
108,2021.02.25,936.0
109,2021.02.24,906.0
110,2021.02.23,936.0
111,2021.02.22,954.0
112,2021.02.19,965.0
113,2021.02.18,967.0
114,2021.02.17,979.0
115,2021.02.16,977.0
116,2021.02.15,981.0
117,2021.02.10,964.0
118,2021.02.09,957.0
119,2021.02.08,960.0
120,2021.02.05,967.0
121,2021.02.04,964.0
122,2021.02.03,970.0
123,2021.02.02,963.0
124,2021.02.01,956.0
125,2021.01.29,928.0
126,2021.01.28,961.0
127,2021.01.27,985.0
128,2021.01.26,994.0
129,2021.01.25,999.0
130,2021.01.22,979.0
131,2021.01.21,981.0
132,2021.01.20,977.0
133,2021.01.19,957.0
134,2021.01.18,944.0
135,2021.01.15,964.0
136,2021.01.14,980.0
137,2021.01.13,979.0
138,2021.01.12,973.0
139,2021.01.11,976.0
140,2021.01.08,987.0
141,2021.01.07,988.0
142,2021.01.06,981.0
143,2021.01.05,985.0
144,2021.01.04,977.0
145,2020.12.30,968.0
146,2020.12.29,957.0
147,2020.12.28,927.0
148,2020.12.24,928.0
149,2020.12.23,923.0
150,2020.12.22,928.0
151,2020.12.21,953.0
152,2020.12.18,947.0
153,2020.12.17,944.0
154,2020.12.16,939.0
155,2020.12.15,931.0
156,2020.12.14,929.0
157,2020.12.11,928.0
158,2020.12.10,921.0
159,2020.12.09,913.0
160,2020.12.08,906.0
161,2020.12.07,926.0
162,2020.12.04,913.0
163,2020.12.03,907.0
164,2020.12.02,899.0
165,2020.12.01,891.0
166,2020.11.30,886.0
167,2020.11.27,885.0
168,2020.11.26,874.0
169,2020.11.25,865.0
170,2020.11.24,872.0
171,2020.11.23,873.0
172,2020.11.20,870.0
173,2020.11.19,859.0
174,2020.11.18,851.0
175,2020.11.17,839.0
176,2020.11.16,847.0
177,2020.11.13,839.0
178,2020.11.12,840.0
179,2020.11.11,839.0
180,2020.11.10,840.0
181,2020.11.09,851.0
182,2020.11.06,836.0
183,2020.11.05,844.0
184,2020.11.04,826.0
185,2020.11.03,818.0
186,2020.11.02,802.0
187,2020.10.30,792.0
188,2020.10.29,813.0
189,2020.10.28,806.0
190,2020.10.27,783.0
191,2020.10.26,778.0
192,2020.10.23,807.0
193,2020.10.22,812.0
194,2020.10.21,830.0
195,2020.10.20,824.0
196,2020.10.19,822.0
197,2020.10.16,833.0
198,2020.10.15,844.0
199,2020.10.14,861.0
200,2020.10.13,871.0
201,2020.10.12,873.0
202,2020.10.08,871.0
203,2020.10.07,869.0
204,2020.10.06,862.0
205,2020.10.05,858.0
206,2020.09.29,848.0
207,2020.09.28,835.0
208,2020.09.25,808.0
209,2020.09.24,806.0
210,2020.09.23,843.0
211,2020.09.22,842.0
212,2020.09.21,866.0
213,2020.09.18,888.0
214,2020.09.17,885.0
215,2020.09.16,896.0
216,2020.09.15,899.0
217,2020.09.14,894.0
218,2020.09.11,888.0
219,2020.09.10,884.0
220,2020.09.09,869.0
221,2020.09.08,878.0
222,2020.09.07,878.0
223,2020.09.04,866.0
224,2020.09.03,874.0
225,2020.09.02,866.0
226,2020.09.01,853.0
227,2020.08.31,848.0
228,2020.08.28,841.0
229,2020.08.27,836.0
230,2020.08.26,841.0
231,2020.08.25,836.0
232,2020.08.24,815.0
233,2020.08.21,796.0
234,2020.08.20,791.0
235,2020.08.19,818.0
236,2020.08.18,800.0
237,2020.08.14,835.0
238,2020.08.13,854.0
239,2020.08.12,845.0
240,2020.08.11,860.0
241,2020.08.10,862.0
242,2020.08.07,857.0
243,2020.08.06,854.0
244,2020.08.05,847.0
245,2020.08.04,835.0
246,2020.08.03,827.0
247,2020.07.31,815.0
248,2020.07.30,814.0
