,date,kosdaq
0,2023.03.17,797.0
1,2023.03.16,781.0
2,2023.03.15,781.0
3,2023.03.14,758.0
4,2023.03.13,788.0
5,2023.03.10,788.0
6,2023.03.09,809.0
7,2023.03.08,813.0
8,2023.03.07,815.0
9,2023.03.06,816.0
10,2023.03.03,802.0
11,2023.03.02,787.0
12,2023.02.28,791.0
13,2023.02.27,780.0
14,2023.02.24,778.0
15,2023.02.23,783.0
16,2023.02.22,778.0
17,2023.02.21,793.0
18,2023.02.20,788.0
19,2023.02.17,775.0
20,2023.02.16,784.0
21,2023.02.15,765.0
22,2023.02.14,779.0
23,2023.02.13,772.0
24,2023.02.10,772.0
25,2023.02.09,784.0
26,2023.02.08,779.0
27,2023.02.07,772.0
28,2023.02.06,761.0
29,2023.02.03,766.0
30,2023.02.02,764.0
31,2023.02.01,750.0
32,2023.01.31,740.0
33,2023.01.30,738.0
34,2023.01.27,741.0
35,2023.01.26,738.0
36,2023.01.25,732.0
37,2023.01.20,717.0
38,2023.01.19,712.0
39,2023.01.18,711.0
40,2023.01.17,709.0
41,2023.01.16,716.0
42,2023.01.13,711.0
43,2023.01.12,710.0
44,2023.01.11,709.0
45,2023.01.10,696.0
46,2023.01.09,701.0
47,2023.01.06,688.0
48,2023.01.05,679.0
49,2023.01.04,683.0
50,2023.01.03,674.0
51,2023.01.02,671.0
52,2022.12.29,679.0
53,2022.12.28,692.0
54,2022.12.27,704.0
55,2022.12.26,694.0
56,2022.12.23,691.0
57,2022.12.22,715.0
58,2022.12.21,705.0
59,2022.12.20,703.0
60,2022.12.19,717.0
61,2022.12.16,717.0
62,2022.12.15,722.0
63,2022.12.14,729.0
64,2022.12.13,715.0
65,2022.12.12,715.0
66,2022.12.09,719.0
67,2022.12.08,712.0
68,2022.12.07,718.0
69,2022.12.06,719.0
70,2022.12.05,733.0
71,2022.12.02,732.0
72,2022.12.01,740.0
73,2022.11.30,729.0
74,2022.11.29,727.0
75,2022.11.28,717.0
76,2022.11.25,733.0
77,2022.11.24,738.0
78,2022.11.23,725.0
79,2022.11.22,712.0
80,2022.11.21,718.0
81,2022.11.18,731.0
82,2022.11.17,737.0
83,2022.11.16,743.0
84,2022.11.15,744.0
85,2022.11.14,729.0
86,2022.11.11,731.0
87,2022.11.10,707.0
88,2022.11.09,714.0
89,2022.11.08,713.0
90,2022.11.07,700.0
91,2022.11.04,693.0
92,2022.11.03,694.0
93,2022.11.02,697.0
94,2022.11.01,700.0
95,2022.10.31,695.0
96,2022.10.28,687.0
97,2022.10.27,695.0
98,2022.10.26,683.0
99,2022.10.25,688.0
100,2022.10.24,688.0
101,2022.10.21,674.0
102,2022.10.20,680.0
103,2022.10.19,690.0
104,2022.10.18,697.0
105,2022.10.17,682.0
106,2022.10.14,678.0
107,2022.10.13,651.0
108,2022.10.12,671.0
109,2022.10.11,669.0
110,2022.10.07,698.0
111,2022.10.06,706.0
