,new_dates,kospi
0,2021.07.30,3202.0
1,2021.07.29,3242.0
2,2021.07.28,3236.0
3,2021.07.27,3232.0
4,2021.07.26,3224.0
5,2021.07.23,3254.0
6,2021.07.22,3250.0
7,2021.07.21,3215.0
8,2021.07.20,3232.0
9,2021.07.19,3244.0
10,2021.07.16,3276.0
11,2021.07.15,3286.0
12,2021.07.14,3264.0
13,2021.07.13,3271.0
14,2021.07.12,3246.0
15,2021.07.09,3217.0
16,2021.07.08,3252.0
17,2021.07.07,3285.0
18,2021.07.06,3305.0
19,2021.07.05,3293.0
20,2021.07.02,3281.0
21,2021.07.01,3282.0
22,2021.06.30,3296.0
23,2021.06.29,3286.0
24,2021.06.28,3301.0
25,2021.06.25,3302.0
26,2021.06.24,3286.0
27,2021.06.23,3276.0
28,2021.06.22,3263.0
29,2021.06.21,3240.0
30,2021.06.18,3267.0
31,2021.06.17,3264.0
32,2021.06.16,3278.0
33,2021.06.15,3258.0
34,2021.06.14,3252.0
35,2021.06.11,3249.0
36,2021.06.10,3224.0
37,2021.06.09,3216.0
38,2021.06.08,3247.0
39,2021.06.07,3252.0
40,2021.06.04,3240.0
41,2021.06.03,3247.0
42,2021.06.02,3224.0
43,2021.06.01,3221.0
44,2021.05.31,3203.0
45,2021.05.28,3188.0
46,2021.05.27,3165.0
47,2021.05.26,3168.0
48,2021.05.25,3171.0
49,2021.05.24,3144.0
50,2021.05.21,3156.0
51,2021.05.20,3162.0
52,2021.05.18,3173.0
53,2021.05.17,3134.0
54,2021.05.14,3153.0
55,2021.05.13,3122.0
56,2021.05.12,3161.0
57,2021.05.11,3209.0
58,2021.05.10,3249.0
59,2021.05.07,3197.0
60,2021.05.06,3178.0
61,2021.05.04,3147.0
62,2021.05.03,3127.0
63,2021.04.30,3147.0
64,2021.04.29,3174.0
65,2021.04.28,3181.0
66,2021.04.27,3215.0
67,2021.04.26,3217.0
68,2021.04.23,3186.0
69,2021.04.22,3177.0
70,2021.04.21,3171.0
71,2021.04.20,3220.0
72,2021.04.19,3198.0
73,2021.04.16,3198.0
74,2021.04.15,3194.0
75,2021.04.14,3182.0
76,2021.04.13,3169.0
77,2021.04.12,3135.0
78,2021.04.09,3131.0
79,2021.04.08,3143.0
80,2021.04.07,3137.0
81,2021.04.06,3127.0
82,2021.04.05,3120.0
83,2021.04.02,3112.0
84,2021.04.01,3087.0
85,2021.03.31,3061.0
86,2021.03.30,3070.0
87,2021.03.29,3036.0
88,2021.03.26,3041.0
89,2021.03.25,3008.0
90,2021.03.24,2996.0
91,2021.03.23,3004.0
92,2021.03.22,3035.0
93,2021.03.19,3039.0
94,2021.03.18,3066.0
95,2021.03.17,3047.0
96,2021.03.16,3067.0
97,2021.03.15,3045.0
98,2021.03.12,3054.0
99,2021.03.11,3013.0
100,2021.03.10,2958.0
101,2021.03.09,2976.0
102,2021.03.08,2996.0
103,2021.03.05,3026.0
104,2021.03.04,3043.0
105,2021.03.03,3082.0
106,2021.03.02,3043.0
107,2021.02.26,3012.0
108,2021.02.25,3099.0
109,2021.02.24,2994.0
110,2021.02.23,3070.0
111,2021.02.22,3079.0
112,2021.02.19,3107.0
113,2021.02.18,3086.0
114,2021.02.17,3133.0
115,2021.02.16,3163.0
116,2021.02.15,3147.0
117,2021.02.10,3100.0
118,2021.02.09,3084.0
119,2021.02.08,3091.0
