날짜, 지수 , 등락율, 거래량, 예탁금, 미수금, 신용잔고, 주식볼륨
20200821, 2304.59, 1.34, 865735, 523373, 3251, 157668, 730549
20200824, 2329.83, 1.10, 649276, 517145, 3925, 157267, 731292
20200825, 2366.73, 1.58, 771584, 517377, 2806, 156394, 735319
20200825, 2366.73, 1.58, 771584, 517377, 2806, 156394, 735319
20200826, 2369.32, 0.11, 956477, 523168, 2364, 157056, 735595
20200827, 2344.45, -1.05, 913917, 538780, 2432, 158785, 731104
20200828, 2353.80, 0.40, 1297312, 547561, 2767, 161299, 728243
20200831, 2326.17, -1.17, 1647817, 605270, 3004, 162151, 722883
20200901, 2349.55, 1.01, 1085245, 595563, 2846, 162728, 725489
20200902, 2364.37, 0.63, 1429273, 486257, 3243, 165555, 726710
20200903, 2395.90, 1.33, 981546, 473964, 3039, 166819, 730381
20200916, 2435.92, -0.31, 772938, 553742, 3014, 177590, 719600
20200917, 2406.17, -1.22, 853740, 556630, 2676, 179023, 714042
20200921, 2389.39, -0.95, 1041993, 547780, 3123, 176860, 709600
20200922, 2332.59, -2.38, 1051028, 556439, 2740, 176568, 705000
20200923, 2333.24, 0.03, 735041, 559513, 3618, 173661, 706405
20200924, 2272.70, -2.59, 714881, 552769, 4338, 172467, 697822
20200925, 2278.79, 0.27, 697961, 556568, 3336, 170625, 699017
20200928, 2308.08, 1.29, 605977, 548187, 3570, 166478, 706562
20200929, 2327.89, 0.86, 646218, 538801, 2961, 163505, 710561
20201005, 2358.00, 1.29, 763618, 580313, 2405, 163935, 718413
20201006, 2365.90, 0.34, 861754, 491950, 2154, 165044, 720807
20201007, 2386.94, 0.89, 737994, 477330, 2551, 166045, 726242
20201008, 2391.96, 0.21, 961726, 542160, 2633, 166950, 726964
20201013, 2403.15, -0.02, 724920, 555432, 2638, 170684, 729290
20201014, 2380.48, -0.94, 901176, 543438, 2936, 172106, 726790
20201016, 2341.53, -0.83, 920205, 540095, 3133, 173777, 721939
20201019, 2346.74, 0.22, 931645, 527264, 3686, 172426, 721099
20201020, 2358.41, 0.50, 874293, 528083, 3527, 170827, 724725
20201021, 2370.86, 0.53, 812837, 552216, 3285, 169412, 726393
20201023, 2360.81, 0.24, 890384, 551432, 2705, 168938, 726466
20201026, 2343.91, -0.72, 822267, 530036, 2644, 168600, 725189
20201027, 2330.84, -0.56, 666941, 529673, 2406, 168028, 724965
20201028, 2345.26, 0.62, 705770, 531401, 3471, 165933, 726995
20201029, 2326.67, -0.79, 509768, 537087, 2739, 164163, 725281
20201030, 2267.15, -2.56, 795585, 550398, 2259, 164294, 720907
20201102, 2300.16, 1.46, 678501, 533452, 2247, 165604, 724137
20201103, 2343.31, 1.88, 887445, 524960, 2445, 166101, 728412
20201105, 2413.79, 2.40, 702037, 511441, 1768, 165524, 739257
20201109, 2447.20, 1.27, 1354862, 544101, 2048, 166791, 746143
20201110, 2452.83, 0.23, 1464168, 546963, 2336, 168528, 746249
20201111, 2485.87, 1.35, 1272038, 554622, 2361, 169685, 746361
20201113, 2493.87, 0.74, 1072383, 566782, 3232, 171733, 750330
20201116, 2543.03, 1.97, 1239135, 628398, 3206, 172413, 754419
20201117, 2539.15, -0.15, 1267494, 631079, 2853, 172441, 752982
20201118, 2545.64, 0.26, 923504, 651360, 3273, 173742, 752867
