종목번호 : 005387, 종목명 : 현대차2우B, 잔고수량 : 18, 평단 : 101305, 매입액 : 1823500, 손액 : -55115, 손익 : -3.02
종목번호 : 005935, 종목명 : 삼성전자우, 잔고수량 : 36, 평단 : 69477, 매입액 : 2501200, 손액 : 137944, 손익 : 5.51
종목번호 : 091990, 종목명 : 셀트리온헬스케어, 잔고수량 : 185, 평단 : 161827, 매입액 : 29938000, 손액 : -4881040, 손익 : -16.30
종목번호 : 123320, 종목명 : TIGER 레버리지, 잔고수량 : 2, 평단 : 25245, 매입액 : 50490, 손액 : 396, 손익 : 0.78
종목번호 : 204480, 종목명 : TIGER 차이나CSI300레, 잔고수량 : 13, 평단 : 36060, 매입액 : 468780, 손액 : -65065, 손익 : -13.87
종목번호 : 225040, 종목명 : TIGER 미국S&P500레버, 잔고수량 : 4, 평단 : 26635, 매입액 : 106540, 손액 : 2509, 손익 : 2.35
종목번호 : 233160, 종목명 : TIGER 코스닥150 레버, 잔고수량 : 15, 평단 : 15663, 매입액 : 234950, 손액 : 1830, 손익 : 0.77
종목번호 : 251340, 종목명 : KODEX 코스닥150선물?, 잔고수량 : 34, 평단 : 5130, 매입액 : 174435, 손액 : -19784, 손익 : -11.34
종목번호 : 252670, 종목명 : KODEX 200선물인버스2, 잔고수량 : 69, 평단 : 3165, 매입액 : 218390, 손액 : -75958, 손익 : -34.77

총 주문수량 : , 총 체결수량 : , 총 주문금액 : , 총 매수액 : , 총 매도액 : 
