��¥, �������ڻ�, �򰡱ݾ�, ��������, �򰡼���
20200827, 1,363,894, 1,166,966, 0, -35,547
20200828, 1,372,695, 1,175,506, 2,601, -29,347
20200831, 1,998,799, 1,245,266, 4,291, -37,534
20200901, 2,004,515, 1,346,616, 0, -31,818
20200902, 2,016,635, 1,249,835, 11,610, -31,309
20200903, 2,029,421, 1,262,689, 8,023, -26,546
20200904, 2,013,002, 1,508,563, 0, -42,966
20200907, 2,000,820, 1,829,350, 0, -55,149
20200915, 2,025,045, 1,574,474, 19,510, -50,357
20200918, 2,009,864, 1,646,182, 0, -65,539
20200921, 1,983,308, 1,907,026, 0, -92,096
20200923, 1,953,233, 1,872,807, 3,058, -125,230
20200924, 1,882,772, 1,790,751, 8,847, -204,540
20200925, 1,889,432, 1,884,990, 0, -197,880
20200928, 1,985,882, 1,981,440, 0, -101,430
20200929, 2,009,854, 2,005,412, 0, -77,458
20201005, 2,051,400, 2,046,958, 0, -35,912
20201006, 2,065,424, 1,616,370, 16,432, -38,324
20201007, 2,076,611, 1,347,598, 14,187, -41,328
20201008, 2,097,284, 1,368,271, 0, -20,655
20201012, 2,131,265, 972,108, 15,825, -2,564
20201013, 2,130,912, 968,509, 8,310, -11,228
20201015, 2,102,829, 1,394,362, 468, -39,779
20201016, 2,086,171, 1,425,420, 1,718, -58,155
20201020, 2,087,499, 1,509,516, 170, -56,998
20201021, 2,098,180, 1,533,732, 0, -46,319
20201022, 2,049,547, 1,648,836, 0, -94,953
20201023, 2,049,202, 1,642,772, 343, -95,641
20201027, 1,996,086, 1,595,402, 215, -148,972
20201028, 2,031,615, 1,832,531, 0, -113,444
20201029, 2,019,569, 1,979,154, 518, -126,009
20201030, 1,926,934, 1,877,789, 260, -218,904
20201102, 2,469,242, 2,373,104, 0, -176,597
20201103, 2,549,954, 2,453,816, 0, -95,885
20201104, 2,613,488, 2,185,066, 20,950, -53,306
20201105, 2,685,102, 2,297,315, 2,988, 15,317
20201106, 2,672,518, 1,738,357, 23,263, -20,535
20201109, 2,710,837, 1,566,627, 13,129, 4,652
20201111, 2,710,694, 1,391,386, 13,093, -8,588
20201112, 2,707,296, 1,470,466, 0, -11,987
20201113, 2,704,183, 1,548,511, 0, -15,100
20201117, 2,720,493, 1,371,672, 12,993, -11,784
20201118, 2,737,210, 1,736,128, 0, 4,932
20201119, 2,758,122, 1,180,093, 21,117, 4,722
20201120, 2,761,575, 937,544, 9,280, -1,107
20201123, 2,781,744, 984,762, 1,054, 18,008
20201124, 2,789,762, 1,081,299, 1,610, 24,416
20201125, 2,787,512, 1,417,814, 2,771, 19,392
20201126, 2,794,075, 1,470,408, 3,679, 22,275
20201127, 2,795,294, 1,481,618, 0, 23,494
20201130, 2,794,601, 1,532,917, 8,013, 14,785
20201201, 2,813,863, 1,552,179, 0, 34,047
20201202, 2,833,006, 1,517,235, 5,081, 48,109
20201203, 2,845,378, 1,529,604, 1,773, 58,707
20201208, 14,954,008, 11,780,875, 385,928, -1,226,205
20201209, 15,428,661, 12,466,536, 1,450, -753,012
20201210, 15,926,593, 13,006,774, 1,743, -256,824
20201211, 16,095,459, 12,844,909, 11,815, -99,775
