종목번호 : 123320, 종목명 : TIGER 레버리지, 잔고수량 : 48, 평단 : 12265, 매입액 : 588720, 손액 : -533, 손익 : -0.09
종목번호 : 204450, 종목명 : KODEX China H 레버리, 잔고수량 : 177, 평단 : 6708, 매입액 : 1187425, 손액 : -21295, 손익 : -1.78
종목번호 : 204480, 종목명 : TIGER 차이나CSI300레, 잔고수량 : 45, 평단 : 26833, 매입액 : 1207520, 손액 : -19159, 손익 : -1.58
종목번호 : 225040, 종목명 : TIGER 미국S&P500레버, 잔고수량 : 105, 평단 : 18902, 매입액 : 1984800, 손액 : -7913, 손익 : -0.39
종목번호 : 233160, 종목명 : TIGER 코스닥150 레버, 잔고수량 : 19, 평단 : 12570, 매입액 : 238830, 손액 : -1386, 손익 : -0.57
종목번호 : 236350, 종목명 : TIGER 인도니프티50레, 잔고수량 : 36, 평단 : 11591, 매입액 : 417300, 손액 : 4195, 손익 : 1.00
총 주문수량 : 442, 총 체결수량 : 374, 총 주문금액 : 5585840, 총 매수액 : 2965490, 총 매도액 : 2620350
주문번호 : 25225, 종목번호 : 233160, 구분 : 매수, 주문수량 : 19, 가격 : 12570, 체결수량 : 19, 잔량 : 0, 상태 : 체결, 시간 : 14143636
주문번호 : 25183, 종목번호 : 233160, 구분 : 매도, 주문수량 : 20, 가격 : 12575, 체결수량 : 20, 잔량 : 0, 상태 : 체결, 시간 : 14132747
주문번호 : 18222, 종목번호 : 204480, 구분 : 매수, 주문수량 : 3, 가격 : 26195, 체결수량 : 3, 잔량 : 0, 상태 : 체결, 시간 : 11213536
주문번호 : 12231, 종목번호 : 225040, 구분 : 매수, 주문수량 : 15, 가격 : 18860, 체결수량 : 15, 잔량 : 0, 상태 : 체결, 시간 : 10005162
주문번호 : 12128, 종목번호 : 225040, 구분 : 매수, 주문수량 : 15, 가격 : 18870, 체결수량 : 15, 잔량 : 0, 상태 : 체결, 시간 : 09594515
주문번호 : 12067, 종목번호 : 225040, 구분 : 매수, 주문수량 : 15, 가격 : 18860, 체결수량 : 15, 잔량 : 0, 상태 : 체결, 시간 : 09583870
주문번호 : 11243, 종목번호 : 233160, 구분 : 매수, 주문수량 : 20, 가격 : 12300, 체결수량 : 20, 잔량 : 0, 상태 : 체결, 시간 : 09453717
주문번호 : 11149, 종목번호 : 233160, 구분 : 매수, 주문수량 : 20, 가격 : 12285, 체결수량 : 0, 잔량 : 20, 상태 : 접수, 시간 : 09443085
주문번호 : 9065, 종목번호 : 236350, 구분 : 매수, 주문수량 : 12, 가격 : 11595, 체결수량 : 12, 잔량 : 0, 상태 : 체결, 시간 : 09264521
주문번호 : 8838, 종목번호 : 236350, 구분 : 매수, 주문수량 : 12, 가격 : 11590, 체결수량 : 12, 잔량 : 0, 상태 : 체결, 시간 : 09253726
주문번호 : 8663, 종목번호 : 236350, 구분 : 매수, 주문수량 : 12, 가격 : 11590, 체결수량 : 12, 잔량 : 0, 상태 : 체결, 시간 : 09242942
주문번호 : 2878, 종목번호 : 225040, 구분 : 매수, 주문수량 : 15, 가격 : 18930, 체결수량 : 15, 잔량 : 0, 상태 : 체결, 시간 : 09050800
주문번호 : 2474, 종목번호 : 225040, 구분 : 매수, 주문수량 : 15, 가격 : 18950, 체결수량 : 15, 잔량 : 0, 상태 : 체결, 시간 : 09035858
주문번호 : 2018, 종목번호 : 225040, 구분 : 매수, 주문수량 : 15, 가격 : 18950, 체결수량 : 15, 잔량 : 0, 상태 : 체결, 시간 : 09024879
주문번호 : 1604, 종목번호 : 225040, 구분 : 매수, 주문수량 : 15, 가격 : 18900, 체결수량 : 15, 잔량 : 0, 상태 : 체결, 시간 : 09013942
주문번호 : 1082, 종목번호 : 236350, 구분 : 매도, 주문수량 : 86, 가격 : 11680, 체결수량 : 86, 잔량 : 0, 상태 : 체결, 시간 : 09002686
주문번호 : 1059, 종목번호 : 233160, 구분 : 매도, 주문수량 : 37, 가격 : 12305, 체결수량 : 37, 잔량 : 0, 상태 : 체결, 시간 : 09002440
주문번호 : 1034, 종목번호 : 225040, 구분 : 매도, 주문수량 : 48, 가격 : 18835, 체결수량 : 48, 잔량 : 0, 상태 : 체결, 시간 : 09002236
주문번호 : 1013, 종목번호 : 123320, 구분 : 매도, 주문수량 : 48, 가격 : 12500, 체결수량 : 0, 잔량 : 48, 상태 : 접수, 시간 : 09002061
